nome_fich_original, nGenes, nRelacoes, mbf_global, runs, dif, prob_mut, prob_rep, pop_size, n_geracoes

johnson8-2-4.clq 28 210 7.0000 50 25.00 0.00 0.70 100 2500
johnson8-2-4.clq 28 210 7.0000 50 23.00 0.01 0.70 100 2500
johnson8-2-4.clq 28 210 6.7000 50 46.00 0.05 0.70 100 2500
johnson8-2-4.clq 28 210 7.0000 50 21.00 0.01 0.15 100 2500
johnson8-2-4.clq 28 210 7.0000 50 26.00 0.01 0.70 100 2500
johnson8-2-4.clq 28 210 7.0000 50 27.00 0.01 0.90 100 2500
johnson8-2-4.clq 28 210 7.0000 50 10.00 0.01 0.90 50 2500
johnson8-2-4.clq 28 210 7.0000 50 42.00 0.01 0.90 200 2500
johnson8-2-4.clq 28 210 7.0000 50 73.00 0.01 0.90 300 2500
johnson8-2-4.clq 28 210 7.0000 50 4.00 0.01 0.90 50 1000
johnson8-2-4.clq 28 210 7.0000 50 10.00 0.01 0.90 50 2500
johnson8-2-4.clq 28 210 7.0000 50 205.00 0.01 0.90 50 50000
inst_teste.txt 7 12 nan 50 13.00 0.01 0.70 100 2500
inst_teste.txt 7 12 nan 50 33.00 0.01 0.70 100 2500
johnson8-2-4.clq 28 210 nan 50 52.00 0.01 0.70 100 2500
inst_teste.txt 7 12 nan 50 11.00 0.01 0.70 100 2500
inst_teste.txt 7 12 nan 50 11.00 0.01 0.70 100 2500
inst_teste.txt 7 12 nan 50 10.00 0.01 0.70 100 2500
inst_teste.txt 7 12 nan 50 12.00 0.01 0.70 100 2500
inst_teste.txt 7 12 nan 50 94.00 0.01 0.70 100 2500
inst_teste.txt 7 12 0.0000 50 13.00 0.01 0.70 100 2500
inst_teste.txt 7 12 0.0000 50 11.00 0.01 0.70 100 2500
